Math Scores    Reading Scores   Total Score   Max Area
630                  452            1082         Math  
578                  624            1202      Reading  
599                  602            1201      Reading  
477                  589            1066      Reading  
522                  423             945         Math  
624                  589            1213         Math  
401                  415             816      Reading  
621                  429            1050         Math  
521                  467             988         Math  
481                  501             982      Reading  
456                  632            1088      Reading  
402                  540             942      Reading  
530                  450             980         Math  
542                  523            1065         Math  
456                  502             958      Reading  
603                  592            1195         Math  
430                  612            1042      Reading  
520                  607            1127      Reading  
467                  430             897         Math  
507                  528            1035      Reading  
